title,five,four,three,two,one
|新北汐止‧越式| 平價道地越南菜《銘記越南美食》附菜單/附設停車場,3,8,8,0,0
日本居民的平價美食   スシロー迴轉壽司,5,1,7,1,1
『桃園食記』玖樓燒肉料理。燒烤吃到飽,1,6,8,3,0
[食記]台南仁德-阿裕牛肉湯(牛肉涮涮鍋) 傳說中~夠鮮才敢倒著拿的溫體手切美味牛肉,3,10,6,0,0
【雲林．虎尾】野川堂~秘境鍋物．平價鍋物、超值享受~環境超舒適,2,7,3,3,1
[新北市♥石門]十八王公肉粽 。劉家石門肉粽,0,4,5,3,0
【台北松山】空軍一號景觀咖啡廳~航拍迷必看離松山機場最靠近賞機點,1,6,14,6,0
東區吃豬腳【韓國족발귀신 豬腳鬼神】登台開運！泡菜、魚板、海苔飯糰少不了|原主婦之店|韓國首爾人氣美食4/1試營運、4/5日正式開幕,1,12,7,2,0
[基隆] 八斗子。榮興海產小吃店。CP值爆高!! (爆!!),6,8,10,0,0
好正點港式點心~均一價49元,1,8,3,2,0
455. 台北城大飯店-飯店內的台菜餐廳,1,5,10,1,0
[灣仔.明星推薦]華星冰室~美味cp值高的餐點，陳奕迅說沒來過華星，別說你來過香港！,3,10,11,2,0
星巴克Starbucks(台北101 · 35樓門市)__拿起電話預約！滿滿夜景與View｜2018最新入場規則 · 預約電話『台北101 · 世貿』,2,1,3,4,0
◎台北◎捷運忠孝敦化站◎頂好紫琳蒸餃館，東區美食推薦，CP值超高的好吃鍋貼,1,5,9,4,0
台北吃到飽推薦｜大直美食。豐 FOOD 海陸百匯 | 2018 食尚Buffet月,2,9,5,1,1
桃園龜山好吃的肉粽和當歸鴨腿！！,1,5,3,1,0
☛台北捷運中山站-九州純冰おいしい氷屋「日式抹茶馬斯卡邦乳酪刨冰(八女抹茶淋醬+馬斯卡邦乳酪+紅豆鮮奶油+香草冰淇淋)」好吃冰品甜點推薦,2,4,2,2,0
